Account name,Customer ID,Month,Currency code,Clicks,Impr.,CTR,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate,Search impr. share,Search lost IS (budget)
AllAzHouses.com,183-208-0476,Jan-24,USD,225,"1,464",15.37%,1.1,246.41,21,11.73,9.33%,< 10%,10.90%
AllNJHomes.com / SelverianProperties.com,162-091-8015,Jan-24,USD,559,"3,427",16.31%,1.43,797.46,42,18.99,7.51%,21.44%,11.18%
AmysGuarantee.com / StarkSummitHomes.com,702-836-8901,Jan-24,USD,310,"6,098",5.08%,0.81,249.85,31,8.06,10.00%,< 10%,6.76%
AmySold.com,522-613-9244,Jan-24,USD,842,"8,930",9.43%,0.89,749.74,116,6.46,13.78%,< 10%,4.13%
AndrewFinneyTeam.com,485-263-2913,Jan-24,USD,960,"15,559",6.17%,1.04,999.49,80,12.49,8.33%,< 10%,8.54%
AndrewsGroupOhio.Com,787-315-8331,Jan-24,USD,660,"4,003",16.49%,1.51,993.45,65,15.28,9.85%,18.77%,13.26%
AndyAdell.com,629-600-7080,Jan-24,USD,304,"3,365",9.03%,0.97,294.87,35,8.42,11.51%,< 10%,9.07%
AnnikaGodfreyGroup.com,430-984-7743,Jan-24,USD,249,"3,373",7.38%,1,247.86,11,22.53,4.42%,< 10%,8.55%
AnsonProperties.com,529-097-7017,Jan-24,USD,352,"8,400",4.19%,1.15,404.66,32,12.65,9.09%,12.75%,9.01%
AnthonyGucciardo.com,606-304-0346,Jan-24,USD,339,"3,305",10.26%,1.48,501.07,43,11.65,12.68%,< 10%,9.72%
ArrtofRealEstate.com,369-508-1078,Jan-24,USD,"1,290","12,343",10.45%,1.01,1298.73,115,11.29,8.91%,< 10%,9.13%
AscendRealty.net / FrybargerHomes.com,995-081-6209,Jan-24,USD,465,"12,323",3.77%,1.07,499.7,38,13.15,8.17%,< 10%,12.16%
AtHomeInYuma.com,904-173-9670,Jan-24,USD,"1,519","22,217",6.84%,0.99,1499.91,173,8.67,11.39%,19.79%,7.91%
AtlantaHomesToday.com,634-143-8850,Jan-24,USD,"1,507","23,922",6.30%,0.95,1433.64,134,10.7,8.89%,< 10%,5.06%
AtlantaHomewise.com,409-646-4913,Jan-24,USD,165,"1,690",9.76%,0.91,149.74,11,13.61,6.67%,< 10%,14.16%
AtlantaLuxuryHomes.com,940-625-8394,Jan-24,USD,"1,024","11,623",8.81%,0.98,999.99,99,10.1,9.67%,< 10%,8.53%
AudreyandAniHomes.com / ATeamIntero.com,478-711-3790,Jan-24,USD,372,"2,151",17.29%,1.61,597.33,21,28.44,5.65%,< 10%,7.17%
AUnderwoodRealty.com,390-456-8058,Jan-24,USD,199,888,22.41%,1.41,281.55,22,12.8,11.06%,11.98%,5.58%
Ave-Properties.com,720-066-4160,Jan-24,USD,667,"6,530",10.21%,1.13,754.16,82,9.2,12.29%,< 10%,9.87%
AZRealEstateInfo.com,812-679-6139,Jan-24,USD,519,"6,293",8.25%,0.96,499.55,45,11.1,8.67%,< 10%,8.52%
BallouRealEstate.com,941-606-8696,Jan-24,USD,505,"5,292",9.54%,0.99,498.11,36,13.84,7.13%,< 10%,11.82%
Barker Hedges Group,462-376-3560,Jan-24,USD,"2,049","17,250",11.88%,1.46,2997.62,225,13.32,10.98%,11.48%,5.79%
BarrieAreaHomeSearcher.com,810-083-2054,Jan-24,CAD,811,"7,637",10.62%,0.73,595.55,59,10.09,7.27%,< 10%,7.49%
BeachesResidentialRealestate.com,690-930-1549,Jan-24,USD,744,"5,671",13.12%,0.89,660.11,60,11,8.06%,< 10%,15.79%
BeachLoopRealty.com,369-337-0391,Jan-24,USD,399,"2,253",17.71%,0.74,294.56,47,6.27,11.78%,16.03%,10.84%
BeachResortRealEstate.com,571-482-6870,Jan-24,USD,484,"2,935",16.49%,1.03,500.06,63,7.94,13.02%,14.87%,15.95%
BeckyGarcia.com,971-857-2745,Jan-24,USD,"1,509","12,075",12.50%,1.26,1907.27,137,13.92,9.08%,< 10%,6.25%
BellinghamListings.com,960-360-2164,Jan-24,USD,830,"8,531",9.73%,0.84,700.11,73,9.59,8.80%,14.08%,8.28%
BestHomesOrangeCounty.com,612-811-1127,Jan-24,USD,490,"3,830",12.79%,1,488.71,39,12.53,7.96%,< 10%,9.31%
BestSoCalHomeFinder.com,780-286-4446,Jan-24,USD,"1,164","11,487",10.13%,0.86,999.83,130,7.69,11.17%,< 10%,11.07%
BethHowardHomes.com / BethHoward.com,732-092-3342,Jan-24,USD,269,"2,564",10.49%,0.93,249.56,36,6.93,13.38%,< 10%,12.31%
BlackDiamondMontana.com,559-411-2800,Jan-24,USD,636,"16,854",3.77%,0.94,598.53,73,8.2,11.48%,< 10%,14.83%
BluefieldGroup.com,233-669-9800,Jan-24,USD,457,"7,217",6.33%,0.76,345.55,56,6.17,12.25%,< 10%,5.43%
BlueprintREA.com,367-967-2764,Jan-24,USD,649,"4,426",14.66%,0.75,487.11,56.5,8.62,8.71%,< 10%,1.88%
BlueSkyRealtyPartners.com / East-Tenn.com,317-830-5752,Jan-24,USD,869,"6,766",12.84%,1.13,985.95,101,9.76,11.62%,< 10%,8.09%
BobbiandTeam.com,832-559-1021,Jan-24,USD,280,"1,992",14.06%,1.06,298.01,17,17.53,6.07%,< 10%,4.57%
BocaRatonAreaHomesForSale.com,957-207-9993,Jan-24,USD,908,"9,330",9.73%,0.87,788.19,96,8.21,10.57%,< 10%,7.36%
BozemanBigSkyHomes.com,446-607-6560,Jan-24,USD,565,"10,789",5.24%,0.88,499.64,44,11.36,7.79%,< 10%,9.16%
BradfordUdouj.com,346-518-9072,Jan-24,USD,281,"6,570",4.28%,0.69,194.31,26,7.47,9.25%,19.88%,11.70%
BrendaAllenGroup.com,672-653-0649,Jan-24,USD,828,"6,890",12.02%,1.21,999.79,59,16.95,7.13%,< 10%,12.33%
BridgestoneHomes-Phoenix.com,807-317-4919,Jan-24,USD,"2,608","18,697",13.95%,1.15,3000.19,273,10.99,10.47%,< 10%,8.24%
Brightcityrealestate.com / BrightCityGroup.com,990-698-2974,Jan-24,USD,163,935,17.43%,1.53,249.7,19,13.14,11.66%,< 10%,6.80%
BritenTeam.com,813-107-2850,Jan-24,USD,707,"3,697",19.12%,1.7,1199.83,58,20.69,8.20%,< 10%,10.05%
BryceSchumacher.com,958-069-1841,Jan-24,USD,500,"4,152",12.04%,1.8,898.92,39,23.05,7.80%,12.54%,9.49%
BucksProperties.com,802-865-9248,Jan-24,USD,537,"2,545",21.10%,0.93,500.06,47,10.64,8.75%,11.12%,6.47%
BuddyBlake.com / WilmingtonHomeBuyer.com,793-641-1931,Jan-24,USD,850,"27,846",3.05%,1.16,984.98,80,12.31,9.41%,< 10%,7.36%
BurlingtonHamiltonRealEstate.ca,696-988-4835,Jan-24,CAD,"1,837","19,627",9.36%,0.82,1499.9,119,12.6,6.48%,< 10%,8.91%
BuyAndSellSouthFlorida.com,808-447-3390,Jan-24,USD,567,"2,747",20.64%,0.71,399.75,61,6.55,10.76%,< 10%,10.54%
BuyingHomes.ca,724-984-5495,Jan-24,USD,728,"4,773",15.25%,0.69,499.66,70,7.14,9.62%,< 10%,10.77%
BuyLakewoodRanch.com,302-017-9344,Jan-24,USD,"1,093","9,780",11.18%,1.35,1475.39,116,12.72,10.61%,< 10%,10.91%
BuyNovaRealEstate.com,521-072-2403,Jan-24,USD,352,"2,892",12.17%,1.42,499.99,27,18.52,7.67%,< 10%,8.60%
BuyOrSellLA.com,631-410-5056,Jan-24,USD,540,"4,487",12.03%,0.93,499.84,64,7.81,11.85%,< 10%,10.78%
BuyOrSellVegas.com,255-236-3611,Jan-24,USD,573,"4,692",12.21%,1.22,699.71,58,12.06,10.12%,< 10%,7.17%
BuyRealEstateInVegas.com,317-215-3274,Jan-24,USD,231,"2,113",10.93%,1.19,273.88,14,19.56,6.06%,< 10%,15.05%
BuySellHomesManhattanKS.com,639-598-4829,Jan-24,USD,307,"3,292",9.33%,0.98,299.66,24,12.49,7.82%,12.84%,18.75%
BuyWithLuker.com,618-439-0690,Jan-24,USD,355,"5,236",6.78%,1.11,393.5,31,12.69,8.73%,< 10%,13.80%
BuyYegHomes.com,317-426-6974,Jan-24,USD,"2,203","16,366",13.46%,0.69,1521.17,175,8.69,7.94%,19.24%,9.87%
C21NE.com,586-433-8178,Jan-24,USD,396,"6,344",6.24%,0.89,351.27,37,9.49,9.34%,< 10%,31.79%
CainRealtyGroup.com / TheCainTeam.com / CainSellsAustin.com,179-775-4570,Jan-24,USD,639,"4,684",13.64%,2.34,1494.21,65,22.99,10.17%,11.87%,9.91%
CalgaryCityListings.com (DO NOT USE),322-468-2992,Jan-24,USD,758,"7,953",9.53%,0.66,499.75,90,5.55,11.87%,< 10%,9.42%
CalgaryHomeGirls.com,523-336-2433,Jan-24,USD,"3,030","33,972",8.92%,0.82,2494.86,313,7.97,10.33%,10.76%,8.05%
CalgaryHouseFinder.ca,719-541-6778,Jan-24,CAD,"10,274","130,622",7.87%,0.83,8486.27,962.5,8.82,9.32%,14.28%,9.10%
CalgaryListings.com,891-947-8637,Jan-24,USD,916,"11,219",8.16%,0.55,500.14,73,6.85,7.97%,< 10%,8.38%
CallisonGroupIdaho.com,103-026-1625,Jan-24,USD,"1,715","18,637",9.20%,1.46,2499.01,104,24.03,6.06%,11.13%,8.25%
CapToCoastNC.com,452-812-5821,Jan-24,USD,"1,012","12,067",8.39%,0.88,889.84,85,10.47,8.40%,< 10%,11.51%
CardonaHomes.com,793-496-6642,Jan-24,USD,461,"2,830",16.29%,0.6,275.12,50,5.5,10.85%,< 10%,10.96%
CasalsRealtors.com,459-436-6693,Jan-24,USD,866,"4,377",19.79%,1.87,1623.4,92,17.65,10.62%,12.28%,10.96%
CassieSpearsTeam.com,111-228-4201,Jan-24,USD,583,"3,057",19.07%,0.85,497.71,74,6.73,12.69%,< 10%,6.07%
CedarcrestNJ.com,345-134-4690,Jan-24,USD,365,"7,124",5.12%,1.64,599.71,20,29.99,5.48%,18.13%,16.46%
CentralFloridaHomeNavigator.com / OrlandoHomeNavigator.com,165-348-0376,Jan-24,USD,434,"3,592",12.08%,0.79,342.21,43,7.96,9.91%,< 10%,38.04%
CentralTexasHomes.co,679-046-3776,Jan-24,USD,462,"5,722",8.07%,1.14,524.7,57.5,9.13,11.93%,21.14%,19.42%
Century21ActionPlusRealty.com,243-543-3539,Jan-24,USD,"2,864","36,162",7.92%,1.22,3499.88,238,14.71,8.31%,23.95%,8.67%
Century21IntegraTexas.com (DO NOT USE),927-958-1399,Jan-24,USD,197,"1,668",11.81%,1,196.82,20,9.84,10.15%,< 10%,21.84%
ChadAndSandy.com / TheNeumannTeam.com,680-632-8146,Jan-24,USD,"1,096","7,269",15.08%,1.46,1598.61,113,14.15,10.31%,< 10%,7.63%
Chain-Realty.com / IndyChainRealty.com / ChainRealtyGroup.com,543-333-3497,Jan-24,USD,453,"4,919",9.21%,1.18,533.98,63,8.48,13.91%,< 10%,31.57%
ChanceCaseyGroup.com,463-657-7195,Jan-24,USD,632,"6,152",10.27%,1.28,811.93,61,13.31,9.65%,< 10%,7.99%
CharlestonAreaHomes.com / SearchMountPleasantHomes.com,966-393-3239,Jan-24,USD,"1,674","7,685",21.78%,1.85,3105,176,17.64,10.51%,11.31%,6.41%
ChicagosPropertyShop.com,608-072-8005,Jan-24,USD,"3,268","35,269",9.27%,1.52,4979,320,15.56,9.79%,22.57%,8.18%
ChristiHillTeam.com,992-438-0950,Jan-24,USD,"1,028","9,443",10.89%,0.97,993.55,96,10.35,9.34%,< 10%,8.00%
CityAndFieldHomes.com / JoeWrightRealEstate.com,852-720-5091,Jan-24,USD,899,"11,638",7.72%,1.11,995.55,111,8.97,12.35%,12.63%,12.38%
CityNest.ca,924-586-2749,Jan-24,CAD,510,"4,121",12.38%,1.08,549.41,56,9.81,10.98%,< 10%,10.88%
CitySpacesDFW.com,728-686-2021,Jan-24,USD,319,"3,283",9.72%,0.77,247.03,28,8.82,8.78%,< 10%,11.39%
ClearViewEP.com,706-970-8315,Jan-24,USD,640,"5,158",12.41%,2.18,1393.25,80,17.42,12.50%,< 10%,9.52%
Click-RealEstate.com,334-095-4976,Jan-24,USD,416,"3,271",12.72%,1.2,497.21,37.5,13.26,9.01%,15.65%,9.68%
CloseWithTheBest.com,370-752-4497,Jan-24,USD,264,"1,352",19.53%,1.3,344.14,11.5,29.93,4.36%,17.72%,15.08%
CoastalLifeDelmarva.com,936-913-5707,Jan-24,USD,597,"8,500",7.02%,0.67,399.73,60,6.66,10.05%,< 10%,9.16%
CoastalNeighborhoods.com,533-492-7499,Jan-24,USD,963,"13,026",7.39%,1.04,999.84,53,18.86,5.50%,< 10%,11.85%
CoastalPalmsRealty.com,745-139-7780,Jan-24,USD,330,"2,756",11.97%,0.91,299.92,36,8.33,10.91%,< 10%,7.06%
CoastHomeNC.com,921-810-0676,Jan-24,USD,307,"1,679",18.28%,0.81,249.86,35,7.14,11.40%,10.31%,10.96%
CoastHomesMS.com,394-624-8780,Jan-24,USD,894,"9,011",9.92%,0.66,593.82,127,4.68,14.21%,< 10%,6.17%
ColoradoDreamHouse.com,454-837-8196,Jan-24,USD,379,"2,828",13.40%,1.32,500.07,32,15.63,8.44%,11.83%,8.65%
ColoradoNewRealEstate.com,129-834-6176,Jan-24,USD,371,"3,006",12.34%,1.14,423.59,29,14.61,7.82%,15.08%,12.33%
CondosAndHomesOceanCity.com,362-174-4074,Jan-24,USD,"1,030","13,082",7.87%,0.97,999.85,94,10.64,9.13%,14.94%,9.13%
CorrieLuxuryHomes.com,953-860-1390,Jan-24,USD,371,"3,451",10.75%,1.62,599.2,24,24.97,6.47%,17.02%,15.64%
CraigRosenfeld.com,817-814-1348,Jan-24,USD,400,"1,836",21.79%,1.24,495.43,31,15.98,7.75%,< 10%,11.06%
CrossTownRealtors.com,353-310-3329,Jan-24,USD,85,664,12.80%,5.88,499.5,15,33.3,17.65%,36.09%,12.51%
CSpringsLiving.com,825-653-6166,Jan-24,USD,215,"1,565",13.74%,1.15,246.38,36,6.84,16.74%,< 10%,7.77%
CTownSells.com,866-197-5788,Jan-24,USD,585,"2,578",22.69%,1.25,728.53,45,16.19,7.69%,< 10%,9.77%
CurranGrp.com,495-452-1600,Jan-24,USD,361,"5,671",6.37%,1.37,495.99,24,20.67,6.65%,< 10%,10.18%
DallasHomesFinder.com,818-675-0092,Jan-24,USD,303,"2,329",13.01%,0.99,299.68,28,10.7,9.24%,< 10%,6.37%
DanielHale.ca,237-953-8762,Jan-24,CAD,652,"8,565",7.61%,0.92,600.08,41,14.64,6.29%,< 10%,4.04%
DanielMedina.ca,796-254-7937,Jan-24,CAD,802,"8,796",9.12%,0.62,499.98,47.5,10.53,5.92%,< 10%,6.91%
DavidGarciaTeam.com (new),793-943-7946,Jan-24,USD,756,"9,616",7.86%,0.78,592.12,75,7.89,9.92%,< 10%,5.38%
DawkinsResidential.com,740-131-9243,Jan-24,USD,395,"2,776",14.23%,1.39,547.9,54,10.15,13.67%,< 10%,7.89%
DawnWalton.com,187-130-5472,Jan-24,USD,"1,049","8,615",12.18%,0.95,999.34,53,18.86,5.05%,13.70%,12.82%
DenovoRealty.com,290-722-3846,Jan-24,USD,"1,268","6,853",18.50%,1.31,1657.28,97,17.09,7.65%,15.16%,7.96%
DesilvaRealtyGroup.com,545-909-7146,Jan-24,USD,344,"2,778",12.38%,1.12,385.76,39,9.89,11.34%,< 10%,16.47%
Destin30AHomeSearch.com,262-842-4715,Jan-24,USD,159,811,19.61%,1.24,196.58,15,13.11,9.43%,12.38%,16.91%
DianaFalter.com,782-005-8294,Jan-24,USD,332,"1,537",21.60%,0.9,299.99,30,10,9.04%,< 10%,11.19%
DickDodsonRealty.com,968-748-2007,Jan-24,USD,251,"2,756",9.11%,1.19,298.8,17,17.58,6.77%,< 10%,15.55%
DiscoverFloridaHouses.com,761-894-7535,Jan-24,USD,426,"2,628",16.21%,0.94,401.13,34,11.8,7.98%,< 10%,13.76%
DixonRealtyTeam.com,320-470-3091,Jan-24,USD,327,"2,628",12.44%,0.76,250.09,36,6.95,11.01%,< 10%,6.95%
DolanRE.com,309-782-2017,Jan-24,USD,456,"8,531",5.35%,1.09,498.57,56,8.9,12.28%,18.01%,18.38%
DomicileRE.com,455-853-3035,Jan-24,USD,413,"2,328",17.74%,0.97,399.38,47,8.5,11.38%,< 10%,9.42%
DreamHavenGroupMB.com / DreamHavenGroup.com / DreamHavenGroupCLT.com,827-898-5170,Jan-24,USD,"1,347","8,732",15.43%,1.09,1474.23,143,10.31,10.62%,< 10%,9.02%
DTPropertiesCo.com,853-144-2809,Jan-24,USD,"1,175","13,629",8.62%,1.28,1499.72,99,15.15,8.43%,< 10%,6.10%
EastCoastFloridaRealEstate.com  / FLTreasureCoastHomes.com,665-271-4249,Jan-24,USD,845,"6,410",13.18%,0.95,799.75,70,11.43,8.28%,< 10%,7.19%
EdmontonHouseDeals.ca,627-047-9731,Jan-24,CAD,270,"3,626",7.45%,0.54,145.25,34,4.27,12.59%,< 10%,8.84%
EdmontonRealEstatePro.ca,309-981-3945,Jan-24,USD,"4,282","38,992",10.98%,0.47,1999.95,389,5.14,9.08%,< 10%,9.21%
Effective.RealEstate,446-977-2529,Jan-24,USD,"1,468","6,221",23.60%,0.68,991.14,211,4.7,14.37%,10.53%,9.49%
ElamRE.com,895-822-5225,Jan-24,USD,"2,300","26,680",8.62%,1.54,3548.94,259,13.7,11.18%,< 10%,6.33%
EldoradoHillsListings.com,943-351-3254,Jan-24,USD,457,"4,944",9.24%,1.09,500.06,31,16.13,6.78%,19.57%,6.62%
EliteFlorida.com,675-079-7609,Jan-24,USD,380,"2,095",18.14%,0.8,305.69,30,10.19,7.89%,< 10%,19.56%
Elko-Homes.com,398-386-7782,Jan-24,USD,225,"2,153",10.45%,1.11,249.87,14,17.85,6.22%,21.75%,11.78%
EmilySellsGreenvilleNC.com / EmilyMcAllister.com,893-542-0498,Jan-24,USD,893,"16,890",5.29%,0.84,747.8,96,7.79,10.75%,15.31%,6.27%
EnvisionVAHome.com,873-345-9337,Jan-24,USD,731,"4,693",15.58%,1.36,991.69,47,21.1,6.43%,14.06%,5.59%
EricKucharik.com,646-173-9239,Jan-24,USD,624,"4,500",13.87%,1.19,743.67,57,13.05,9.13%,< 10%,12.73%
EssexAndHudsonHomes.com,935-849-8223,Jan-24,USD,452,"5,228",8.65%,0.98,443.97,39,11.38,8.63%,< 10%,12.14%
EstateGroupMI.com / EstateGroupExp.com,738-318-8247,Jan-24,USD,"1,145","13,126",8.72%,0.87,999.85,128,7.81,11.18%,< 10%,6.48%
EvansvilleRealEstateSearch.com,542-030-5539,Jan-24,USD,481,"5,482",8.77%,0.73,349.72,57,6.14,11.85%,11.05%,13.81%
EverySanDiegoHome.com,480-168-4001,Jan-24,USD,867,"6,160",14.07%,1.14,987.04,81,12.19,9.34%,14.29%,8.15%
ExitRealtyPalmBeach.com,285-622-9800,Jan-24,USD,"1,001","7,776",12.87%,0.98,985.04,102,9.66,10.19%,< 10%,10.47%
ExpertHomeAdvisors.com,930-614-2427,Jan-24,USD,"6,455","62,073",10.40%,1.09,7050.95,684,10.31,10.60%,< 10%,8.65%
ExploreEdmontonRealEstate.com,811-974-4333,Jan-24,USD,"1,088","11,770",9.24%,0.55,599.79,101,5.94,9.28%,< 10%,9.26%
ExploreHomesCalgary.com / HaraldHubnerHomes.ca,303-756-1962,Jan-24,CAD,494,"3,772",13.10%,0.81,400.06,47,8.51,9.51%,< 10%,10.78%
ExploreMDHomes.com,826-455-0976,Jan-24,USD,"1,062","5,425",19.58%,1.44,1527.31,154,9.92,14.50%,14.72%,6.56%
ExploreVAHomes.com,854-554-4745,Jan-24,USD,365,"3,542",10.30%,1.65,600.98,32,18.78,8.77%,< 10%,11.31%
ExtremeRE.com,447-741-2776,Jan-24,USD,"1,005","5,606",17.93%,0.99,999.18,128,7.81,12.74%,10.74%,9.04%
FairfaxCountyCondos.com,235-512-1925,Jan-24,USD,460,"2,190",21.00%,1.06,489.05,34,14.38,7.39%,25.68%,9.80%
FarrGroupNW.com,486-418-8235,Jan-24,USD,519,"4,270",12.15%,1.86,966.68,60,16.11,11.56%,< 10%,13.28%
FerrariHomeGroup.com,561-327-8598,Jan-24,USD,"1,231","11,244",10.95%,1.52,1870.68,151,12.39,12.27%,< 10%,7.51%
FindAFloridaHouse.com,702-506-5617,Jan-24,USD,"1,103","7,162",15.40%,0.8,883.72,119,7.43,10.79%,< 10%,7.53%
FindAHomeInSiouxFalls.com,483-823-9911,Jan-24,USD,"1,247","22,418",5.56%,1.6,1994.84,116,17.2,9.30%,13.48%,19.88%
FindAllRenoHomes.com,592-631-6021,Jan-24,USD,270,"3,663",7.37%,1.85,500.08,27,18.52,10.00%,< 10%,7.78%
FindEdmontonHomes.ca,126-234-7721,Jan-24,USD,"1,522","17,763",8.57%,0.46,700.11,169,4.14,11.10%,< 10%,7.08%
FindHome.ms,887-987-3635,Jan-24,USD,"1,231","11,449",10.75%,0.8,989.82,138,7.17,11.21%,14.76%,5.21%
FindHomesForMe.com,181-715-8049,Jan-24,USD,574,"4,584",12.52%,0.83,478.18,69,6.93,12.02%,< 10%,12.34%
FindingHomeLasVegas.com,319-674-7815,Jan-24,USD,752,"7,471",10.07%,0.96,723.13,73,9.91,9.71%,< 10%,18.40%
FindingLasVegasHomeListings.com,483-552-1356,Jan-24,USD,357,"2,849",12.53%,1.26,449.65,26,17.29,7.28%,< 10%,9.04%
FindYourCHSHome.com,584-323-7009,Jan-24,USD,158,"1,398",11.30%,1.58,249.68,13,19.21,8.23%,27.03%,12.49%
FirstCoastCollective.com,801-716-0256,Jan-24,USD,548,"3,940",13.91%,1.26,692.5,55,12.59,10.04%,< 10%,7.13%
Florida-Keys.realestate,244-934-8796,Jan-24,USD,"1,541","8,501",18.13%,0.52,797.73,167,4.78,10.84%,13.52%,8.28%
FloridaCondoFinder.com,501-313-4109,Jan-24,USD,456,"2,411",18.91%,0.66,300.02,49,6.12,10.75%,10.27%,9.61%
FloridaHomeCentral.com,661-970-7966,Jan-24,USD,"8,193","69,020",11.87%,1.01,8308.46,914,9.09,11.16%,11.74%,9.55%
FloridaIsHome.com,173-552-4621,Jan-24,USD,843,"6,016",14.01%,0.95,799.82,75,10.66,8.90%,11.37%,8.12%
FloridaRealEstateCentral.com/ / TheMarganonGroup.com,555-069-6000,Jan-24,USD,"1,743","15,354",11.35%,1.03,1799.73,187,9.62,10.73%,< 10%,9.24%
FluxRealty.ca (DO NOT USE!),447-919-1464,Jan-24,CAD,968,"14,907",6.49%,1.12,1085.31,89,12.19,9.19%,< 10%,19.47%
Fort-McMurray-Real-Estate.ca,377-772-8562,Jan-24,USD,"1,439","8,236",17.47%,1.11,1599.79,114,14.03,7.92%,44.10%,8.50%
FortMyersRealEstate.com / EquityRealty.com,903-982-5633,Jan-24,USD,"4,966","46,064",10.78%,0.94,4683.02,423,11.07,8.52%,< 10%,12.50%
FourPointsRealtyCo.com,630-570-4337,Jan-24,USD,448,"3,485",12.86%,1.12,499.53,26,19.21,5.80%,< 10%,10.78%
FoxesSellFaster.com,584-449-5837,Jan-24,USD,"1,298","7,267",17.86%,1.54,1999.69,94,21.27,7.24%,< 10%,4.10%
Frank4RE.com,884-584-7325,Jan-24,USD,415,"6,631",6.26%,2.41,998.29,29,34.42,6.99%,< 10%,10.20%
FreedomRealEstateSpokane.com,184-805-0442,Jan-24,USD,"1,331","13,616",9.78%,1.5,1995.87,98,20.37,7.36%,12.45%,7.59%
GardnerGroupRealtors.com,335-030-1295,Jan-24,USD,498,"3,696",13.47%,2.01,999.37,47,21.26,9.44%,17.07%,7.44%
GarryNeevesRealEstate.com / PreiningerPropertyGroup.com /  Garryneeves.com,782-703-4735,Jan-24,USD,377,"1,618",23.30%,1.33,500.27,49,10.21,13.00%,< 10%,6.38%
GettyGroup.ca (DO NOT USE),577-757-5831,Jan-24,USD,"1,724","24,713",6.98%,0.8,1382.53,154,8.98,8.93%,< 10%,20.58%
GileGroup.com,105-583-5321,Jan-24,USD,457,"2,354",19.41%,1.31,599.37,44,13.62,9.63%,< 10%,7.67%
GoganTeam.com / SoldByGogan.com,620-162-2333,Jan-24,USD,"2,623","29,147",9.00%,1.14,2999.75,192,15.62,7.32%,< 10%,13.26%
GoldCountryModern.com / BayAreaModern.com,541-538-8842,Jan-24,USD,"1,030","10,774",9.56%,0.97,997.57,105,9.5,10.19%,19.12%,10.42%
GonzalesEquityGroup.com,498-594-3243,Jan-24,USD,"2,639","12,030",21.94%,1.54,4065.52,217,18.74,8.22%,18.32%,6.58%
GoTripleCrown.com,969-512-5088,Jan-24,USD,726,"8,199",8.85%,1.38,999.78,56,17.85,7.71%,26.99%,12.96%
GrahamTeam.com,784-140-2041,Jan-24,USD,"1,841","12,673",14.53%,1.63,2998,210,14.28,11.34%,19.02%,5.69%
GreaterAtlantaAreaHomeFinder.com,997-718-6894,Jan-24,USD,394,"3,190",12.35%,0.76,299.07,59,5.07,14.97%,< 10%,10.49%
GreySq.com,992-883-9825,Jan-24,USD,682,"6,064",11.25%,1.03,700.11,75,9.33,11.00%,< 10%,10.96%
GulfCoastHomeGuide.com,724-762-8848,Jan-24,USD,989,"5,414",18.27%,1.01,1000.26,113,8.85,11.43%,< 10%,15.49%
HalifaxMetroHomes.com,888-712-4341,Jan-24,CAD,555,"7,975",6.96%,0.54,300.02,42,7.14,7.57%,< 10%,7.19%
